A351;PROTECTION MOTEUR;ENGINE TRAY
B000;DIVERS BOITE;VARIOUS GEARBOXES
B011;BOITE DE VITESSES;GEARBOX
B012;BOITE AUTOMATIQUE;AUTO G/BOX
B110;DIV CARTER EMBRAYAGE;VAR.CLUTCH HOUSING
B111;CARTER EMBRAYAGE;CLUTCH HOUSING
B112;TUBE GUIDE/JOINT;GUIDE TUBE/SEAL
B114;JOINT CARTER MECANISME /CARTER;MECH HOUSING SEAL
B137;CARTER DE 5EME;5TH GEAR HOUSING
B13D;JOINT CARTER 5V;5-SPD HSG SEAL
B13R;BOUCHON/JOINT REMPLISSAGE OU VIDANGE;PLUG/SEAL
B14C;JOINT SORTIE DIFFERENTIEL;DIFF OUTLET SEAL
B152;CARTER BVM;MAN.GBX.MECH.HSNG
B156;BOUCHON ETANCHEITE CARTER;SEALING PLUG
B211;BUTEE EMBRAYAGE;CLUTCH STOP
B212;FOURCHETTE DE DEBRAYAGE;CLUTCH FORK
B213;AXE FOURCHE EMBRAYAGE;CLUTCH FORK SHAFT
B214;PIVOT FOURCHE INTERNE;INT.FORK PIVOT
B215;LEVIER EMBRAYAGE;CLUTCH LEVER
B218;FOURCHETTE 1/2;1/2 SHAFT/FORK
B219;FOURCHETTE 5 ASS;5 FORK SHAFT
B21B;FOURCHETTTE 3/4;SHAFT/FORK 3/4
B21C;FOURCHETTTE MAR;REV. GEAR SHAFT
B21D;AXE COMMANDE+DOIGT SELECTION;CTRL SHAFT+SEL.FINGER
B21H;FOURCHETTE 1/2/5/6;1/2/5/6 BRACKET
B21J;JOINT AXE COMMANDE;CTRL SHAFT SEAL
B21L;BILLAGE AXE FOURCHETTE;1/2 BALL DETENT
B21U;AXE ASS D' ENTREE DE COMMANDE;CONTROL ENTRY SEAT SQUAB AXLE
B21Y;BONHOMME VERROUILLAGE;LOCKING MECH.
B220;DIV COMMANDE HYDRAULIQUE;VAR. HYDRAUL. CTRL
B221;DISTRIBUTION HYDRAULIQUE;HYDRAUL. DISTRIB.
B222;ELECTROVANNE DE MODULATION DE PRESSION;SOL. VALVE/MODU
B228;FILTRE ‡ HUILE BV;STRAINER
B22A;BVA:MOYEU D ALIMENTATION;A.T.: SUPPLY HUB
B230;DIV COMMANDE ELECTRONIQUE;VAR.ELECTRONIC CTRL
B232;LIAISON IEH BVA POTENTIOMETRE DE CHARGE;A.T. IEH CONNECT.
B233;CONTACT MULTIFONCTIONS;MULTIFUNCT. SWITCH
B234;CAPTEUR POSITION AXE FOURCHETTE;SELECTOR FORK SHAFT POSITION SENSOR
B235;CAPTEUR POSITION CRABOT;MEMBER HOOK POSITION SENSOR
B239;CAPTEUR POSITION AXE FOURCHETTE EV1 ET EV2;SELECTOR FORK SHAFT POSITION SENSOR EV1 ET EV2
B23E;BOITIER ELECTRONIQUE BVA;A.T. COMPUTER
B23R;REPROGRAMMATION ET APPRENTISSAGE CALCULATEUR BVA;AUTO GBOX REPROG
B2A2;BIELLE DE COMMANDE;CONTROL ROD
B2A3;ANNEAU D'ARRET;ROD BEARING CLIP
B2A4;PALIER DE BIELLE COMMANDE;ROD BEARING
B338;BALADEUR 1/2;1/2 SLIDING GEAR
B33A;BALADEUR 5/6;SLIDE 5/REV.GEAR BRAKE
B33D;ECROU ARBRE PRIMAIRE;PRIMARY SHAFT NUT
