AA;Démarrage difficile;Hard to start
AB;Moteur cale;Engine stalls
AC;Régime irrégulier,  trou/ pointe/ à-coup;Irregular engine speed
AD;Etincelles, cliquetis, détonation;Sparks, detonation
AE;Perte de puissance, faible accélération;Loss in power, low(weak) acceleration
AFA*;Ralenti trop haut/ trop bas - ralenti instable, pompage - retour ralenti inexist;Slowed down too high / too low - slowed down unstable, slow pumping-return inexist
AH;Vibrations au ralenti;Vibrations in slow motion
AJ;Retour ralenti inexistant ou trop lent;In slow motion non-existent or too slow return
AK;Surchauffe;Overheating
AL;Consommation excessive de carburant;Excessive consumption of fuel
AM;Consommation excessive d'huile;Excessive consumption of oil
AN;Fuite de gaz d échappement;Exhaust gas leaking
ANZ*;Fuite gaz echappement-fuite entree liquide refroidissement-fuite carburant (AN,;Leak gas escape(exhaust) - leak inlet(entry) closes out(liquidates) running cooling-leak
AP;Fumée anormale;Abnormal smoke
APP;Fumée anormale (Prime);Abnormal smoke(flue gas)
AQ;Echec au test EPA (pollution US);Failure(Defeat) of the test EPA ( US pollution)
BA;Boîte manuelle/embrayage passage difficile;Manual transmission / Clutch: difficult access
BAZ*;Boite manuelle/embrayage passage difficile - glissement BV - effort d util. irre;Manual / clutch difficult access - sliding BV - irregular stress of use limps
BB;Boîte manuelle: saut de vitesse;Manual transmission: jump of speed
BC;Boîte manuelle/embrayage grésillement;Manual transmission / Clutch: crackling
BCZL;Boîte manuelle/embrayage grésillement  -   bruit anormal, ronflement;Box manual / clutch crackling - abnormal noise, snore
BD;Boîte auto : vitesse ne passe pas;Box automobile: speed passes no lead
BE;Choc au passsage de vitesse;Box automobile: impact in the access of speed
BFZH;Boite auto : passage de vitesse anormale-effort d utilisation irregulier/trop fo;Automobile limps: access of abnormal speed stress of use strong irrégulier/trop
BG;Pas de débrayage;No lead of clutch release
CA;Tirage gauche / droite / dérive / instabilité;Left(Awkward) edition / right-hand side / drift(vertical stabilizer) / instability
CB;Confort / comportement médiocre;Comfort / inferior behavior
CD;Usure irrégulière des pneus avant;Irregular wear of the front tires
DA;Freinage médiocre;Inferior braking
DAP;Freinage médiocre (');Inferior braking (')
DB;Tirage gauche / droite au freinage;Left(Awkward) edition / right-hand side in the braking
EB;Manoeuvre difficile de la direction;Difficult manoeuvre(laborer) of the steering(management)
FAZJ;Jeu excessif / mauvais alignement;Excessive / bad gap(clearance) alignment
